0,025000.100.0,125000 
0,025000.250.1,000000 
0,025000.500.1,000000 
0,025000.750.1,260000 
0,025000.1000.0,893617 
0,025000.2000.1,443182 
0,025000.3000.1,423203 
0,025000.3500.1,511377 
0,025000.4000.1,401568 
0,025000.4500.1,404128 
0,025000.5000.1,456274 
0,050000.100.Infinity 
0,050000.250.0,000000 
0,050000.500.1,666667 
0,050000.750.1,400000 
0,050000.1000.0,929577 
0,050000.2000.1,579470 
0,050000.3000.1,435835 
0,050000.3500.1,602885 
0,050000.4000.1,602471 
0,050000.4500.1,555003 
0,050000.5000.1,544533 
0,100000.100.NaN 
0,100000.250.0,000000 
0,100000.500.1,625000 
0,100000.750.1,434783 
0,100000.1000.1,326316 
0,100000.2000.1,541885 
0,100000.3000.1,672000 
0,100000.3500.1,699673 
0,100000.4000.1,797027 
0,100000.4500.1,768293 
0,100000.5000.1,703459 
0,250000.100.NaN 
0,250000.250.0,000000 
0,250000.500.1,000000 
0,250000.750.2,137255 
0,250000.1000.1,190476 
0,250000.2000.1,556897 
0,250000.3000.1,639277 
0,250000.3500.1,654350 
0,250000.4000.1,553478 
0,250000.4500.1,596267 
0,250000.5000.1,629852 
0,500000.100.2,000000 
0,500000.250.2,833333 
0,500000.500.0,695652 
0,500000.750.1,450000 
0,500000.1000.1,755725 
0,500000.2000.1,539945 
0,500000.3000.1,612245 
0,500000.3500.1,477963 
0,500000.4000.1,601748 
0,500000.4500.1,525066 
0,500000.5000.1,558065 
